season,position,driverId,points,wins,constructorId
2020,1,hamilton,347,11,mercedes
2020,2,bottas,223,2,mercedes
2020,3,max_verstappen,214,2,red_bull
2020,4,perez,125,1,racing_point
2020,5,ricciardo,119,0,renault
2020,6,sainz,105,0,mclaren
2020,7,albon,105,0,red_bull
2020,8,leclerc,98,0,ferrari
2020,9,norris,97,0,mclaren
2020,10,gasly,75,1,alphatauri
2020,11,stroll,75,0,racing_point
2020,12,ocon,62,0,renault
2020,13,vettel,33,0,ferrari
2020,14,kvyat,32,0,alphatauri
2020,15,hulkenberg,10,0,racing_point
2020,16,raikkonen,4,0,alfa
2020,17,giovinazzi,4,0,alfa
2020,18,russell,3,0,williams
2020,19,grosjean,2,0,haas
2020,20,kevin_magnussen,1,0,haas
2020,21,latifi,0,0,williams
2020,22,aitken,0,0,williams
2020,23,pietro_fittipaldi,0,0,haas
