season,round,circuitId,driverId,position,grid,points,laps,status,fastestLapRank
2022,1,bahrain,leclerc,1,1,26,57,Finished,1
2022,1,bahrain,sainz,2,3,18,57,Finished,3
2022,1,bahrain,hamilton,3,5,15,57,Finished,5
2022,1,bahrain,russell,4,9,12,57,Finished,6
2022,1,bahrain,kevin_magnussen,5,7,10,57,Finished,8
2022,1,bahrain,bottas,6,6,8,57,Finished,7
2022,1,bahrain,ocon,7,11,6,57,Finished,14
2022,1,bahrain,tsunoda,8,16,4,57,Finished,13
2022,1,bahrain,alonso,9,8,2,57,Finished,10
2022,1,bahrain,zhou,10,15,1,57,Finished,9
2022,1,bahrain,mick_schumacher,11,12,0,57,Finished,11
2022,1,bahrain,stroll,12,19,0,57,Finished,15
2022,1,bahrain,albon,13,14,0,57,Finished,18
2022,1,bahrain,ricciardo,14,18,0,57,Finished,16
2022,1,bahrain,norris,15,13,0,57,Finished,12
2022,1,bahrain,latifi,16,20,0,57,Finished,20
2022,1,bahrain,hulkenberg,17,17,0,57,Finished,19
2022,1,bahrain,perez,18,4,0,56,Fuel pressure,4
2022,1,bahrain,max_verstappen,19,2,0,54,Fuel pressure,2
2022,1,bahrain,gasly,20,10,0,44,Power Unit,17
2022,2,jeddah,max_verstappen,1,4,25,50,Finished,2
2022,2,jeddah,leclerc,2,2,19,50,Finished,1
2022,2,jeddah,sainz,3,3,15,50,Finished,3
2022,2,jeddah,perez,4,1,12,50,Finished,4
2022,2,jeddah,russell,5,6,10,50,Finished,7
2022,2,jeddah,ocon,6,5,8,50,Finished,9
2022,2,jeddah,norris,7,11,6,50,Finished,5
2022,2,jeddah,gasly,8,9,4,50,Finished,10
2022,2,jeddah,kevin_magnussen,9,10,2,50,Finished,6
2022,2,jeddah,hamilton,10,15,1,50,Finished,8
2022,2,jeddah,zhou,11,12,0,50,Finished,13
2022,2,jeddah,hulkenberg,12,17,0,50,Finished,11
2022,2,jeddah,stroll,13,13,0,49,+1 Lap,16
2022,2,jeddah,albon,14,16,0,47,Collision damage,15
2022,2,jeddah,bottas,15,8,0,36,Cooling system,14
2022,2,jeddah,alonso,16,7,0,35,Water pump,12
2022,2,jeddah,ricciardo,17,14,0,35,Gearbox,17
2022,2,jeddah,latifi,18,18,0,14,Accident,18
2022,2,jeddah,tsunoda,19,19,0,0,Power Unit,
2022,2,jeddah,mick_schumacher,20,0,0,0,Withdrew,
2022,3,albert_park,leclerc,1,1,26,58,Finished,1
2022,3,albert_park,perez,2,3,18,58,Finished,3
2022,3,albert_park,russell,3,6,15,58,Finished,4
2022,3,albert_park,hamilton,4,5,12,58,Finished,7
2022,3,albert_park,norris,5,4,10,58,Finished,8
2022,3,albert_park,ricciardo,6,7,8,58,Finished,9
2022,3,albert_park,ocon,7,8,6,58,Finished,10
2022,3,albert_park,bottas,8,12,4,58,Finished,5
2022,3,albert_park,gasly,9,11,2,58,Finished,13
2022,3,albert_park,albon,10,20,1,58,Finished,12
2022,3,albert_park,zhou,11,14,0,58,Finished,11
2022,3,albert_park,stroll,12,19,0,58,Finished,17
2022,3,albert_park,mick_schumacher,13,15,0,57,+1 Lap,14
2022,3,albert_park,kevin_magnussen,14,16,0,57,+1 Lap,15
2022,3,albert_park,tsunoda,15,13,0,57,+1 Lap,16
2022,3,albert_park,latifi,16,18,0,57,+1 Lap,18
2022,3,albert_park,alonso,17,10,0,57,+1 Lap,2
2022,3,albert_park,max_verstappen,18,2,0,38,Fuel leak,6
2022,3,albert_park,vettel,19,17,0,22,Accident,19
2022,3,albert_park,sainz,20,9,0,1,Spun off,
2022,4,imola,max_verstappen,1,1,26,63,Finished,1
2022,4,imola,perez,2,3,18,63,Finished,3
2022,4,imola,norris,3,5,15,63,Finished,7
2022,4,imola,russell,4,11,12,63,Finished,8
2022,4,imola,bottas,5,7,10,63,Finished,6
2022,4,imola,leclerc,6,2,8,63,Finished,2
2022,4,imola,tsunoda,7,12,6,63,Finished,5
2022,4,imola,vettel,8,13,4,63,Finished,9
2022,4,imola,kevin_magnussen,9,8,2,63,Finished,10
2022,4,imola,stroll,10,15,1,62,+1 Lap,16
2022,4,imola,albon,11,18,0,62,+1 Lap,17
2022,4,imola,gasly,12,17,0,62,+1 Lap,15
2022,4,imola,hamilton,13,14,0,62,+1 Lap,13
2022,4,imola,ocon,14,16,0,62,+1 Lap,18
2022,4,imola,zhou,15,0,0,62,+1 Lap,11
2022,4,imola,latifi,16,19,0,62,+1 Lap,12
2022,4,imola,mick_schumacher,17,10,0,62,+1 Lap,4
2022,4,imola,ricciardo,18,6,0,62,+1 Lap,14
2022,4,imola,alonso,19,9,0,6,Collision damage,19
2022,4,imola,sainz,20,4,0,0,Collision,
2022,5,miami,max_verstappen,1,3,26,57,Finished,1
2022,5,miami,leclerc,2,1,18,57,Finished,2
2022,5,miami,sainz,3,2,15,57,Finished,3
