season,round,raceName,circuitId,circuitName,locality,country,lat,long,date,time
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,2006-03-12,14:30:00Z
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,2006-03-19,15:00:00Z
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,2006-04-02,14:00:00Z
2006,4,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,2006-04-23,14:00:00Z
2006,5,European Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,2006-05-07,14:00:00Z
2006,6,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Barcelona,Spain,41.57,2.26111,2006-05-14,14:00:00Z
2006,7,Monaco Grand Prix,monaco,Circuit de Monaco,Monte Carlo,Monaco,43.7347,7.42056,2006-05-28,14:00:00Z
2006,8,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,2006-06-11,12:00:00Z
2006,9,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,2006-06-25,13:00:00Z
2006,10,United States Grand Prix,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,2006-07-02,14:00:00Z
2006,11,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,2006-07-16,14:00:00Z
2006,12,German Grand Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,2006-07-30,14:00:00Z
2006,13,Hungarian Grand Prix,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,2006-08-06,14:00:00Z
2006,14,Turkish Grand Prix,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,2006-08-27,15:00:00Z
2006,15,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,2006-09-10,14:00:00Z
2006,16,Chinese Grand Prix,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,2006-10-01,14:00:00Z
2006,17,Japanese Grand Prix,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,2006-10-08,14:00:00Z
2006,18,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,2006-10-22,14:00:00Z
